LeftController  ;
timestamp;globalPosition; ; ;localPosition; ; ;globalRotation; ; ; ;localRotation; ; ; ;
msec;x; y; z;x; y; z;x; y; z; w;x; y; z; w;
12.44 ;-0.121685 ;1.25368 ;-3.807862 ;-0.121685 ;1.25368 ;0.4021386 ;-0.01172044 ;-0.03244321 ;-0.4162314 ;0.9086041 ;-0.01172044 ;-0.03244321 ;-0.4162314 ;0.9086041 ;
12.46 ;-0.1225049 ;1.254991 ;-3.807818 ;-0.1225049 ;1.254991 ;0.4021823 ;-0.0103476 ;-0.03589681 ;-0.4108285 ;0.910947 ;-0.0103476 ;-0.03589681 ;-0.4108285 ;0.910947 ;
12.48 ;-0.1228415 ;1.255424 ;-3.807523 ;-0.1228415 ;1.255424 ;0.4024776 ;-0.01066303 ;-0.03588283 ;-0.4083988 ;0.9120357 ;-0.01066303 ;-0.03588283 ;-0.4083988 ;0.9120357 ;
12.5 ;-0.1232047 ;1.255957 ;-3.807408 ;-0.1232047 ;1.255957 ;0.4025921 ;-0.01068555 ;-0.03683521 ;-0.406048 ;0.9130465 ;-0.01068555 ;-0.03683521 ;-0.406048 ;0.9130465 ;
12.52 ;-0.1234831 ;1.256157 ;-3.807167 ;-0.1234831 ;1.256157 ;0.4028328 ;-0.01127659 ;-0.0374922 ;-0.4039196 ;0.9139563 ;-0.01127659 ;-0.0374922 ;-0.4039196 ;0.9139563 ;
12.54 ;-0.1232019 ;1.257294 ;-3.807617 ;-0.1232019 ;1.257294 ;0.4023832 ;-0.01433914 ;-0.03697343 ;-0.4009813 ;0.9152275 ;-0.01433914 ;-0.03697343 ;-0.4009813 ;0.9152275 ;
12.56 ;-0.1235124 ;1.257877 ;-3.80707 ;-0.1235124 ;1.257877 ;0.4029297 ;-0.009671853 ;-0.03959997 ;-0.3944671 ;0.9180055 ;-0.009671853 ;-0.03959997 ;-0.3944671 ;0.9180055 ;
12.58 ;-0.1236656 ;1.260099 ;-3.806183 ;-0.1236656 ;1.260099 ;0.4038174 ;-0.005702007 ;-0.04462222 ;-0.3761243 ;0.9254766 ;-0.005702007 ;-0.04462222 ;-0.3761243 ;0.9254766 ;
12.6 ;-0.1233472 ;1.260937 ;-3.806115 ;-0.1233472 ;1.260937 ;0.4038848 ;-0.004022764 ;-0.04387499 ;-0.3713975 ;0.9274281 ;-0.004022764 ;-0.04387499 ;-0.3713975 ;0.9274281 ;
12.62 ;-0.1233339 ;1.261635 ;-3.806076 ;-0.1233339 ;1.261635 ;0.4039245 ;-0.003113567 ;-0.04472093 ;-0.3673753 ;0.9289918 ;-0.003113567 ;-0.04472093 ;-0.3673753 ;0.9289918 ;
